name,skid,spid
"Lil Baby",9438699,5f7VJjfbwm532GiveGC0ZK
"Drake",556955,3TVXtAsR1Inumwj472S9r4
"Travis Scott",6008144,0Y5tJX1MQlPlqiwlOH1tJY
"DaBaby",9883244,4r63FhuTkUYltbVAg5TQnk
"Roddy Ricch",9728669,757aE44tKEUQEqRuT6GnEB
"Megan Thee Stallion",9701784,181bsRPaVXVlUKXrxwZfHK
"Juice WRLD",9550809,4MCBfE4596Uoi2O4DtmEMz
"Pop Smoke",10071322,0eDvMgVFoNV3TpwtrVCoTj
"Arizona Zervas",8896099,0vRvGUQVUjytro0xpb26bs
"Lil Uzi Vert",8081893,4O15NlyKLIASxsJ0PrXPfz
