name,skid,spid
"Post Malone",8508053,246dkjvS1zLTtiykXe5h60
"The Weeknd",4363463,1Xyo4u8uXC1ZmMpatF05PJ
"Dua Lipa",8310783,6M2wZ9GZgrQXHCFfjv46we
"Harry Styles",5820634,6KImCVD70vtIoJWnq6nGn3
"Lewis Capaldi",7156949,4GNC7GD6oZMSxPGyXy4MNB
"Doja Cat",8030683,5cj0lLjcoR7YOSnhnX0Po5
"Justin Bieber",2596951,1uNFoZAHBGtllmzznpCI3s
"Lizzo",5031783,56oDRnqbIiwx4mymNEv7dS
"Maroon 5",181875,04gDigrS5kc9YWfZHwBETP
"Selena Gomez",1059348,0C8ZW7ezQVs4URX5aX7Kqx
