name,skid,spid
"BTS",135912,3Nrfpe0tUJi4K4DXYWgMUX
"Lauren Daigle",7949878,40LHVA5BTQp9RxHOQ9JPYj
"XXXTENTACION",8997064,15UsOTVnJzReFVN1VCnxy4
"NF",249773,6fOMl44jA4Sp5b9PpYCkzz
"Five Finger Death Punch",577269,5t28BP42x2axFnqOOMg3CM
"Bad Bunny",9059639,4q3ewBCX7sLwd24euuV69X
"Trippie Redd",9212594,6Xgp2XMz1fhVYe7i6yNAax
"Jason Aldean",486575,3FfvYsEGaIb52QPXhg4DcH
"Joji",9214309,3MZsBdqDrRTJihTHQrO6Dq
"Morgan Wallen",8964794,4oUHIQIBe0LHzYfvXNW4QM
