name,skid,spid
"Panic! At The Disco",139037,20JZFwl6HVl6yg8a4H3ZqK
"Queen",469904,1dfeR4HaWDbWqFHLkxsg1d
"Imagine Dragons",2506696,53XhwfbYqKCa1cC15pYq2q
"twenty one pilots",3123851,3YQKmKGau1PzlVlkL1iodx
"The Beatles",417271,3WrFJ7ztbogyGnTHbHJFl2
"Elton John",371163,3PhoLpVuITZKcymswpck5b
"Machine Gun Kelly",6630384,6TIYQ3jFPwQSRmorSezPxX
"Fleetwood Mac",323006,08GQAI4eElDnROBrJRGE0X
"AJR",1880688,6s22t5Y3prQHyaHWUN1R1C
"Tame Impala",927852,5INjqkS1o8h1imAzPqGZBb
