name,skid,spid
"The Chainsmokers",2867816,69GGBxA162lTqCwzJG5jLp
"Marshmello",8613384,64KEffDW9EtZ1y2vBYgq8T
"DJ Snake",297319,540vIaP2JwjQb9dm3aArA4
"Lady Gaga",974908,1HY2Jd0NmPuamShAr6KMms
"Avicii",3117626,1vCWHaC5f2uS3yhpwWbIA6
"ODESZA",6018139,21mKp7DqtSNHhCAU2ugvUw
"Illenium",7668859,45eNHdiiabvmbp4erw26rg
"Calvin Harris",82547,7CajNmpbOovFoOoasH2HaY
"Alan Walker",8754489,7vk5e3vY1uw9plTHJAMwjN
"Clean Bandit",3376301,6MDME20pz9RveH9rEXvrOM
