name,skid,spid
"Ariana Grande",4971683,66CXWjxzNUsdJxJ2JdwvnR
"Post Malone",8508053,246dkjvS1zLTtiykXe5h60
"Khalid",894756,6LuN9FCkKOj5PcnpouEgny
"Jonas Brothers",110449,7gOdHgIoIKoe4i9Tta6qdD
"Halsey",8067338,26VFTg2z8YR0cCuwLzESi2
"Panic! At The Disco",139037,20JZFwl6HVl6yg8a4H3ZqK
"Shawn Mendes",38125949,7n2wHs1TKAczGzO7Dd2rGr
"Billie Eilish",8913479,6qqNVTkY8uBg9cP3Jd7DAH
"Lizzo",5031783,56oDRnqbIiwx4mymNEv7dS
"Ed Sheeran",2083334,6eUKZXaKkcviH0Ku9w2n3V
