name,skid,spid
"Post Malone",8508053,246dkjvS1zLTtiykXe5h60
"Lil Nas X",10001194,7jVv8c5Fj3E9VhNjxT4snq
"Cardi B",8962314,4kYSro6naA4h99UJvo89HB
"Travis Scott",6008144,0Y5tJX1MQlPlqiwlOH1tJY
"DaBaby",9883244,4r63FhuTkUYltbVAg5TQnk
"Lizzo",5031783,56oDRnqbIiwx4mymNEv7dS
"Swae Lee",9811034,1zNqQNIdeOUZHb8zbZRFMX
"J. Cole",832745,6l3HvQ5sa6mXTsMTB19rO5
"Lil Baby",9438699,5f7VJjfbwm532GiveGC0ZK
"Drake",556955,3TVXtAsR1Inumwj472S9r4
