name,skid,spid
"Luke Combs",8782319,718COspgdWOnwOFpJHRZHS
"Dan + Shay",7775839,7z5WFjZAIYejWy0NI5lv4T
"Kane Brown",3587911,3oSJ7TBVCWMDMiYjXNiCKE
"Thomas Rhett",4254071,6x2LnllRG5uGarZMsD4iO8
"Florida Georgia Line",4160206,3b8QkneNDz4JHKKKlLgYZg
"Chris Stapleton",793839,4YLtscXsxbVgi031ovDDdh
"Morgan Wallen",8964794,4oUHIQIBe0LHzYfvXNW4QM
"Maren Morris",2055882,6WY7D3jk8zTrHtmkqqo5GI
"Jason Aldean",486575,3FfvYsEGaIb52QPXhg4DcH
"Blake Shelton",565207,1UTPBmNbXNTittyMJrNkvw
